lsoa21cd,msoa21cd,lad22cd,uk_COB,europe_eu_countries_COB,europe_non_eu_countries_COB,africa_COB,asia_middle_east_COB,americas_carribean_COB,antarctica_oceana_COB,british_overseas_COB,bangladesh_ethnicity,chinese_ethnicity,indian_ethnicity,pakistani_ethnicity,asian_other_ethnicity,african_ethnicity,caribbean_ethnicity,afro_caribbean_other_ethnicity,white_english_ethnicity,white_irish_ethnicity,white_gypsy_irish_traveller_ethnicity,white_roma_ethnicity,white_other_ethnicity,arab_ethnicity,any_other_ethnicity,total_number_of_households,household_w_dep_kid_0_4_count,household_w_dep_kid_5_9_count,household_w_dep_kid_0_4_prop,household_w_dep_kid_5_9_prop,eligible,share_of_eligible
E01011279,E02002337,E08000035,1285,16,4,4,4,5,0,0,1,2,1,1,1,1,0,1,1244,4,2,0,17,6,2,586,55,44,9.38566552901024,7.508532423208191,99,16.89419795221843
E01011280,E02002337,E08000035,1986,41,6,5,28,3,4,0,0,10,4,0,7,4,2,0,1916,17,0,0,49,5,7,837,108,70,12.903225806451612,8.363201911589009,178,21.26642771804062
E01011270,E02002337,E08000035,1637,35,8,7,24,5,2,1,0,6,15,0,3,3,3,2,1546,24,6,0,25,2,15,683,57,57,8.345534407027818,8.345534407027818,114,16.691068814055637
E01011267,E02002338,E08000035,1636,23,3,7,18,3,6,0,0,5,3,0,4,3,2,0,1586,5,2,0,27,8,6,726,92,50,12.672176308539944,6.887052341597796,142,19.55922865013774
E01011265,E02002338,E08000035,1828,59,9,9,24,22,2,1,0,6,7,0,8,2,4,0,1792,15,0,0,76,0,5,913,91,63,9.967141292442497,6.900328587075575,154,16.867469879518072
E01011264,E02002340,E08000035,1220,33,5,9,6,4,7,0,0,0,3,0,1,9,1,1,1211,9,0,2,36,0,2,577,38,34,6.58578856152513,5.892547660311958,72,12.478336221837088
E01011268,E02002339,E08000035,1333,22,2,10,18,6,4,0,0,8,11,0,5,5,1,2,1279,1,0,0,24,5,4,628,64,51,10.19108280254777,8.121019108280255,115,18.312101910828027
E01011269,E02002340,E08000035,1510,37,3,8,5,2,2,0,0,0,2,0,3,5,2,1,1468,18,0,0,22,1,6,749,57,41,7.610146862483311,5.473965287049399,98,13.08411214953271
E01011266,E02002337,E08000035,2453,56,4,30,33,30,6,1,0,18,17,0,4,4,4,5,2397,23,1,0,72,0,8,1141,109,95,9.55302366345311,8.326029798422436,204,17.879053461875547
E01011271,E02002338,E08000035,2077,39,7,7,28,10,2,3,1,12,10,1,13,9,8,0,2006,21,1,0,29,0,2,895,77,91,8.603351955307263,10.167597765363128,168,18.77094972067039
E01011273,E02002339,E08000035,1409,33,1,9,18,9,4,0,0,4,5,0,6,1,5,0,1367,4,1,0,39,1,5,717,73,35,10.181311018131101,4.881450488145049,108,15.06276150627615
E01011272,E02002338,E08000035,1405,14,2,7,18,3,6,0,1,11,7,1,2,2,1,0,1378,3,0,0,6,0,9,567,40,55,7.054673721340388,9.700176366843033,95,16.75485008818342
E01011274,E02002339,E08000035,1283,37,1,15,20,5,2,0,0,10,0,0,4,13,6,7,1230,6,2,0,28,1,6,673,61,47,9.063893016344725,6.983655274888559,108,16.047548291233284
E01011275,E02002339,E08000035,1365,13,2,5,15,5,6,0,0,0,0,0,10,5,5,3,1307,6,1,0,17,0,1,613,80,47,13.05057096247961,7.66721044045677,127,20.717781402936378
E01011276,E02002340,E08000035,1652,35,3,10,24,9,3,0,0,4,9,0,13,2,1,0,1585,9,0,0,24,0,11,791,80,46,10.11378002528445,5.815423514538558,126,15.929203539823009
E01011277,E02002343,E08000035,1522,32,3,17,24,6,3,0,0,9,13,0,6,8,3,0,1490,10,0,1,20,1,1,634,85,58,13.406940063091483,9.14826498422713,143,22.555205047318612
E01032499,E02002396,E08000035,1504,63,6,34,94,3,1,0,0,6,142,0,26,20,5,1,1256,16,6,0,54,29,21,697,56,36,8.034433285509326,5.164992826398852,92,13.199426111908178
E01011304,E02002418,E08000035,1522,32,1,6,15,7,1,1,0,6,6,0,0,9,3,2,1514,6,0,0,17,2,2,708,68,50,9.6045197740113,7.062146892655368,118,16.666666666666668
E01011278,E02002343,E08000035,1519,36,5,20,26,14,2,0,5,7,1,5,17,13,7,3,1482,8,0,0,31,3,4,740,61,47,8.243243243243244,6.351351351351352,108,14.594594594594595
E01011306,E02002418,E08000035,1262,20,3,7,6,2,1,0,0,0,1,0,5,5,1,0,1250,9,0,0,11,0,1,546,52,45,9.523809523809524,8.241758241758241,97,17.765567765567766
E01011305,E02002418,E08000035,1435,29,1,4,11,4,8,0,0,2,4,0,0,0,1,0,1427,2,0,0,28,0,2,651,60,49,9.216589861751151,7.526881720430108,109,16.74347158218126
E01011300,E02002418,E08000035,1435,7,1,7,2,2,2,1,0,0,0,0,0,7,2,1,1417,6,1,0,3,0,1,622,74,43,11.897106109324758,6.913183279742765,117,18.810289389067524
E01011309,E02002359,E08000035,1449,24,1,18,4,3,3,3,0,3,3,0,0,11,3,8,1412,4,0,0,25,0,3,664,56,49,8.433734939759036,7.379518072289157,105,15.813253012048193
E01011297,E02002359,E08000035,1623,38,5,15,25,9,9,0,0,11,5,0,5,6,0,1,1597,5,0,0,38,0,6,703,66,77,9.388335704125177,10.953058321479373,143,20.34139402560455
E01011296,E02002359,E08000035,1574,27,1,5,6,4,8,0,0,0,1,0,2,0,1,0,1558,19,0,0,18,2,2,781,55,44,7.042253521126761,5.633802816901408,99,12.67605633802817
E01011299,E02002417,E08000035,2726,57,4,28,8,12,3,0,2,0,2,2,2,17,6,3,2693,10,1,0,52,0,6,1165,164,135,14.07725321888412,11.587982832618026,299,25.665236051502145
E01011298,E02002417,E08000035,1481,40,3,18,11,2,3,0,1,1,1,1,4,16,3,8,1453,6,1,0,38,1,0,703,76,50,10.81081081081081,7.112375533428165,126,17.923186344238974
E01011311,E02002351,E08000035,1111,37,5,30,73,4,3,0,0,11,44,0,21,6,0,0,967,30,0,0,31,5,16,487,48,47,9.856262833675565,9.650924024640657,95,19.50718685831622
E01011310,E02002359,E08000035,1546,36,5,10,19,4,6,0,0,0,5,0,5,0,2,0,1504,19,0,0,28,0,1,741,61,51,8.232118758434549,6.882591093117409,112,15.114709851551957
E01011308,E02002432,E08000035,1447,23,5,3,9,5,2,2,0,2,3,0,1,1,1,0,1441,6,0,0,15,0,6,651,62,49,9.523809523809524,7.526881720430108,111,17.05069124423963
E01011307,E02002432,E08000035,1560,27,1,6,6,0,1,0,0,0,0,0,3,7,0,3,1538,2,5,0,13,1,0,651,63,46,9.67741935483871,7.06605222734255,109,16.74347158218126
