msoa21cd,lad22cd,uk_COB,europe_eu_countries_COB,europe_non_eu_countries_COB,africa_COB,asia_middle_east_COB,americas_carribean_COB,antarctica_oceana_COB,british_overseas_COB,bangladesh_ethnicity,chinese_ethnicity,indian_ethnicity,pakistani_ethnicity,asian_other_ethnicity,african_ethnicity,caribbean_ethnicity,afro_caribbean_other_ethnicity,white_english_ethnicity,white_irish_ethnicity,white_gypsy_irish_traveller_ethnicity,white_roma_ethnicity,white_other_ethnicity,arab_ethnicity,any_other_ethnicity,total_number_of_households,household_w_dep_kid_0_4_count,household_w_dep_kid_5_9_count,household_w_dep_kid_0_4_prop,household_w_dep_kid_5_9_prop,eligible,share_of_eligible
E02002337,E08000035,7361,149,23,46,89,43,12,2,1,35,34,1,14,9,9,8,7103,68,9,0,164,13,33,3247,329,266,10.132429935324915,8.192177394518017,595,18.32460732984293
E02002338,E08000035,6946,137,20,30,88,40,16,4,2,33,25,2,27,16,15,0,6762,44,3,0,138,8,22,3101,300,259,9.674298613350532,8.352144469525959,559,18.02644308287649
E02002340,E08000035,5598,126,14,34,54,22,15,0,0,17,14,0,18,17,6,2,5457,41,1,2,100,3,22,2744,229,163,8.345481049562682,5.940233236151603,392,14.285714285714286
E02002339,E08000035,5390,101,6,39,72,25,16,0,0,22,15,0,25,24,17,13,5183,18,4,0,107,7,16,2631,278,180,10.56632459141011,6.841505131128848,458,17.40782972253896
E02002343,E08000035,5629,108,16,59,81,35,11,0,5,19,34,5,36,28,14,10,5496,38,1,4,89,10,13,2528,263,209,10.403481012658228,8.26740506329114,472,18.670886075949365
E02002396,E08000035,7513,763,49,262,364,71,10,20,0,38,472,0,83,287,71,51,6671,74,9,18,703,41,109,4086,450,216,11.013215859030836,5.286343612334802,666,16.29955947136564
E02002418,E08000035,6856,113,9,24,41,16,14,2,0,7,11,0,9,25,8,5,6798,27,1,0,75,2,9,3085,294,226,9.52998379254457,7.3257698541329015,520,16.85575364667747
E02002359,E08000035,6193,124,12,49,54,20,28,3,0,14,13,0,12,18,7,9,6071,45,0,0,109,2,12,2889,238,221,8.238144686742817,7.649705780546902,459,15.88785046728972
E02002417,E08000035,7047,144,9,55,40,17,9,0,3,13,4,3,6,48,13,15,6950,30,4,6,112,6,9,3141,365,262,11.620503024514486,8.34129258198026,627,19.961795606494746
E02002351,E08000035,5203,142,7,62,170,38,6,0,0,27,63,0,44,20,12,0,4879,81,0,0,115,10,56,2353,233,165,9.902252443688909,7.012324691882703,398,16.914577135571612
E02002432,E08000035,7412,116,12,40,44,21,6,2,0,20,14,0,5,39,4,2,7263,42,6,0,75,4,11,3158,315,263,9.974667511082965,8.328055731475617,578,18.30272324255858
E02002388,E08000035,6880,605,48,279,273,40,6,15,18,67,128,18,89,386,55,47,6147,49,8,51,561,62,85,3478,497,298,14.289821736630246,8.568142610695801,795,22.85796434732605
E02002400,E08000035,6813,1343,109,674,741,70,7,60,13,22,886,13,175,874,122,96,5250,56,30,60,1256,128,211,4241,574,336,13.534543739684036,7.922659750058949,910,21.457203489742984
E02002420,E08000035,6134,945,53,426,750,49,9,0,290,63,1039,290,134,578,55,56,4574,90,2,19,748,60,144,3325,467,322,14.045112781954888,9.68421052631579,789,23.729323308270676
E02002419,E08000035,6295,756,37,650,388,53,6,1,77,29,379,77,118,848,62,90,5231,66,8,10,635,82,156,3578,486,331,13.583007266629401,9.250978200111794,817,22.833985466741197
E02002387,E08000035,5440,303,22,131,85,29,13,1,0,14,47,0,22,152,18,24,5163,35,1,13,281,17,43,2723,276,216,10.135879544619904,7.932427469702534,492,18.06830701432244
E02002381,E08000035,5888,187,28,59,96,15,9,2,0,16,35,0,11,52,7,7,5665,53,5,0,186,24,21,3029,333,199,10.993727302740178,6.569825024760647,532,17.563552327500826
