"postcode","ls_tag"
"BD1 1JS",0
"BD1  1JS",0
"BD100FE",0
"BD10 0FE",0
"BD100NJ",0
"BD10 0NJ",0
"BD100NL",0
"BD10 0NL",0
"BD100NR",0
"BD10 0NR",0
"BD100NS",0
"BD10 0NS",0
"BD100NX",0
"BD10 0NX",0
"BD100PA",0
"BD10 0PA",0
"BD100PF",0
"BD10 0PF",0
"BD100PH",0
"BD10 0PH",0
"BD100PJ",0
"BD10 0PJ",0
"BD100PL",0
"BD10 0PL",0
"BD100PN",0
"BD10 0PN",0
"BD100PP",0
"BD10 0PP",0
"BD100PQ",0
"BD10 0PQ",0
"BD100PR",0
"BD10 0PR",0
"BD100PS",0
"BD10 0PS",0
"BD100PT",0
"BD10 0PT",0
"BD111AA",0
"BD11 1AA",0
"BD111AB",0
"BD11 1AB",0
"BD111AD",0
"BD11 1AD",0
"BD111AE",0
"BD11 1AE",0
"BD111AF",0
"BD11 1AF",0
"BD111AG",0
"BD11 1AG",0
"BD111AH",0
"BD11 1AH",0
"BD111AJ",0
"BD11 1AJ",0
"BD111AL",0
"BD11 1AL",0
"BD111AN",0
"BD11 1AN",0
"BD111AP",0
"BD11 1AP",0
"BD111AQ",0
"BD11 1AQ",0
"BD111AR",0
"BD11 1AR",0
"BD111AS",0
"BD11 1AS",0
"BD111AT",0
"BD11 1AT",0
"BD111AU",0
"BD11 1AU",0
"BD111AW",0
"BD11 1AW",0
"BD111AX",0
"BD11 1AX",0
"BD111AY",0
"BD11 1AY",0
"BD111AZ",0
"BD11 1AZ",0
"BD111BA",0
"BD11 1BA",0
"BD111BB",0
"BD11 1BB",0
"BD111BD",0
"BD11 1BD",0
"BD111BE",0
"BD11 1BE",0
"BD111BG",0
"BD11 1BG",0
"BD111BH",0
"BD11 1BH",0
"BD111BJ",0
"BD11 1BJ",0
"BD111BL",0
"BD11 1BL",0
"BD111BN",0
"BD11 1BN",0
"BD111BP",0
"BD11 1BP",0
"BD111BQ",0
"BD11 1BQ",0
"BD111BS",0
"BD11 1BS",0
"BD111BT",0
"BD11 1BT",0
"BD111BU",0
"BD11 1BU",0
"BD111BW",0
"BD11 1BW",0
"BD111BX",0
"BD11 1BX",0
"BD111BY",0
"BD11 1BY",0
"BD111DA",0
"BD11 1DA",0
"BD111DB",0
"BD11 1DB",0
"BD111DD",0
"BD11 1DD",0
"BD111DE",0
"BD11 1DE",0
"BD111DF",0
"BD11 1DF",0
"BD111DG",0
"BD11 1DG",0
"BD111DH",0
"BD11 1DH",0
"BD111DJ",0
"BD11 1DJ",0
"BD111DL",0
"BD11 1DL",0
"BD111DN",0
"BD11 1DN",0
"BD111DP",0
"BD11 1DP",0
"BD111DQ",0
"BD11 1DQ",0
"BD111DR",0
"BD11 1DR",0
"BD111DS",0
"BD11 1DS",0
"BD111DT",0
"BD11 1DT",0
"BD111DU",0
"BD11 1DU",0
"BD111DW",0
"BD11 1DW",0
"BD111DX",0
"BD11 1DX",0
"BD111DY",0
"BD11 1DY",0
"BD111DZ",0
"BD11 1DZ",0
"BD111EA",0
"BD11 1EA",0
"BD111EB",0
"BD11 1EB",0
"BD111ED",0
"BD11 1ED",0
"BD111EE",0
"BD11 1EE",0
"BD111EF",0
"BD11 1EF",0
"BD111EG",0
"BD11 1EG",0
"BD111EH",0
"BD11 1EH",0
"BD111EJ",0
"BD11 1EJ",0
"BD111EL",0
"BD11 1EL",0
"BD111EN",0
"BD11 1EN",0
"BD111EP",0
"BD11 1EP",0
"BD111EQ",0
"BD11 1EQ",0
"BD111ER",0
"BD11 1ER",0
"BD111ES",0
"BD11 1ES",0
"BD111ET",0
"BD11 1ET",0
"BD111EU",0
"BD11 1EU",0
"BD111EW",0
"BD11 1EW",0
"BD111EX",0
"BD11 1EX",0
"BD111EY",0
"BD11 1EY",0
"BD111EZ",0
"BD11 1EZ",0
"BD111FA",0
"BD11 1FA",0
"BD111FB",0
"BD11 1FB",0
"BD111FD",0
"BD11 1FD",0
"BD111FE",0
"BD11 1FE",0
"BD111FF",0
"BD11 1FF",0
"BD111FG",0
"BD11 1FG",0
"BD111FH",0
"BD11 1FH",0
"BD111FJ",0
"BD11 1FJ",0
"BD111FL",0
"BD11 1FL",0
"BD111FN",0
"BD11 1FN",0
"BD111FP",0
